Close,Date
700.150024,2022-03-04
677.799988,2022-03-07
688.849976,2022-03-08
714.099976,2022-03-09
730.400024,2022-03-10
729.450012,2022-03-11
730.549988,2022-03-14
721.299988,2022-03-15
723.799988,2022-03-16
740.099976,2022-03-17
735.150024,2022-03-21
739.150024,2022-03-22
733.75,2022-03-23
733.450012,2022-03-24
743.25,2022-03-25
737.0,2022-03-28
761.950012,2022-03-29
767.400024,2022-03-30
774.200012,2022-03-31
785.75,2022-04-01
818.549988,2022-04-04
848.049988,2022-04-05
849.849976,2022-04-06
817.400024,2022-04-07
839.299988,2022-04-08
854.549988,2022-04-11
844.900024,2022-04-12
840.5,2022-04-13
842.700012,2022-04-18
819.299988,2022-04-19
827.650024,2022-04-20
850.5,2022-04-21
874.150024,2022-04-22
859.549988,2022-04-25
909.5,2022-04-26
887.299988,2022-04-27
887.099976,2022-04-28
856.400024,2022-04-29
856.549988,2022-05-02
812.799988,2022-05-04
811.349976,2022-05-05
811.400024,2022-05-06
792.599976,2022-05-09
769.099976,2022-05-10
759.900024,2022-05-11
713.299988,2022-05-12
705.900024,2022-05-13
712.5,2022-05-16
744.75,2022-05-17
759.799988,2022-05-18
732.799988,2022-05-19
767.549988,2022-05-20
753.549988,2022-05-23
752.150024,2022-05-24
707.900024,2022-05-25
701.5,2022-05-26
703.099976,2022-05-27
734.700012,2022-05-30
739.849976,2022-05-31
736.900024,2022-06-01
748.450012,2022-06-02
739.900024,2022-06-03
741.25,2022-06-06
734.549988,2022-06-07
728.599976,2022-06-08
735.5,2022-06-09
726.400024,2022-06-10
695.25,2022-06-13
704.700012,2022-06-14
703.75,2022-06-15
681.700012,2022-06-16
668.950012,2022-06-17
663.150024,2022-06-20
689.099976,2022-06-21
668.299988,2022-06-22
675.299988,2022-06-23
686.400024,2022-06-24
687.75,2022-06-27
678.049988,2022-06-28
677.799988,2022-06-29
672.049988,2022-06-30
677.900024,2022-07-01
682.0,2022-07-04
678.75,2022-07-05
694.349976,2022-07-06
703.599976,2022-07-07
715.700012,2022-07-08
729.200012,2022-07-11
731.900024,2022-07-12
726.75,2022-07-13
724.450012,2022-07-14
730.900024,2022-07-15
739.75,2022-07-18
749.0,2022-07-19
743.549988,2022-07-20
754.25,2022-07-21
754.25,2022-07-22
749.950012,2022-07-25
749.099976,2022-07-26
760.650024,2022-07-27
764.5,2022-07-28
763.700012,2022-07-29
801.25,2022-08-01
802.299988,2022-08-02
807.200012,2022-08-03
807.25,2022-08-04
810.25,2022-08-05
801.650024,2022-08-08
790.549988,2022-08-10
792.75,2022-08-11
788.349976,2022-08-12
824.150024,2022-08-16
824.75,2022-08-17
833.049988,2022-08-18
871.799988,2022-08-19
840.25,2022-08-22
832.5,2022-08-23
836.299988,2022-08-24
816.0,2022-08-25
837.700012,2022-08-26
836.400024,2022-08-29
842.150024,2022-08-30
837.799988,2022-09-01
851.950012,2022-09-02
850.900024,2022-09-05
850.349976,2022-09-06
874.900024,2022-09-07
885.049988,2022-09-08
906.849976,2022-09-09
938.5,2022-09-12
948.799988,2022-09-13
947.849976,2022-09-14
968.549988,2022-09-15
938.200012,2022-09-16
959.599976,2022-09-19
970.25,2022-09-20
932.900024,2022-09-21
946.650024,2022-09-22
913.799988,2022-09-23
863.400024,2022-09-26
844.200012,2022-09-27
827.099976,2022-09-28
816.400024,2022-09-29
820.650024,2022-09-30
784.400024,2022-10-03
823.049988,2022-10-04
824.099976,2022-10-06
816.900024,2022-10-07
808.099976,2022-10-10
797.349976,2022-10-11
803.900024,2022-10-12
784.75,2022-10-13
780.099976,2022-10-14
786.200012,2022-10-17
809.950012,2022-10-18
805.049988,2022-10-19
820.049988,2022-10-20
801.650024,2022-10-21
805.5,2022-10-24
800.349976,2022-10-25
821.25,2022-10-27
820.299988,2022-10-28
823.549988,2022-10-31
841.799988,2022-11-01
833.400024,2022-11-02
833.849976,2022-11-03
862.900024,2022-11-04
853.0,2022-11-07
890.799988,2022-11-09
893.450012,2022-11-10
894.5,2022-11-11
895.049988,2022-11-14
906.900024,2022-11-15
887.349976,2022-11-16
890.849976,2022-11-17
888.900024,2022-11-18
871.599976,2022-11-21
882.450012,2022-11-22
873.599976,2022-11-23
876.650024,2022-11-24
879.599976,2022-11-25
878.599976,2022-11-28
878.200012,2022-11-29
881.0,2022-11-30
890.549988,2022-12-01
888.200012,2022-12-02
893.150024,2022-12-05
896.450012,2022-12-06
886.75,2022-12-07
892.900024,2022-12-08
890.75,2022-12-09
881.299988,2022-12-12
894.799988,2022-12-13
900.549988,2022-12-14
883.950012,2022-12-15
860.450012,2022-12-16
892.849976,2022-12-19
884.25,2022-12-20
857.650024,2022-12-21
856.900024,2022-12-22
794.099976,2022-12-23
806.049988,2022-12-26
817.150024,2022-12-27
810.349976,2022-12-28
819.549988,2022-12-29
818.099976,2022-12-30
822.299988,2023-01-02
820.450012,2023-01-03
810.0,2023-01-04
819.599976,2023-01-05
806.099976,2023-01-06
816.650024,2023-01-09
796.400024,2023-01-10
796.450012,2023-01-11
792.950012,2023-01-12
794.650024,2023-01-13
787.049988,2023-01-16
784.75,2023-01-17
786.5,2023-01-18
776.049988,2023-01-19
774.450012,2023-01-20
769.049988,2023-01-23
761.200012,2023-01-24
713.150024,2023-01-25
596.950012,2023-01-27
597.0,2023-01-30
612.650024,2023-01-31
495.149994,2023-02-01
462.450012,2023-02-02
498.850006,2023-02-03
545.450012,2023-02-06
553.150024,2023-02-07
599.25,2023-02-08
582.299988,2023-02-09
583.950012,2023-02-10
553.700012,2023-02-13
565.099976,2023-02-14
569.049988,2023-02-15
577.200012,2023-02-16
578.650024,2023-02-17
579.700012,2023-02-20
583.200012,2023-02-21
547.099976,2023-02-22
551.849976,2023-02-23
558.900024,2023-02-24
573.29339,2023-02-27
592.450012,2023-02-28
614.19917501772,2023-03-01
635.4171999822801,2023-03-02
705.16898521928,2023-03-03
